贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
O2hPlADyE,追星小浪仔,True,617543,2349346,#宗庆后逝世# 马化腾想订制whh给女儿，宗庆后：做不到，无能为力！#宗庆后逝世三个侧影一个最大悬念##马化腾# http://t.cn/A6YWwMTh ,宗庆后逝世/宗庆后逝世三个侧影一个最大悬念/马化腾,追星小浪仔的微博视频
OcGSOtivq,麒炜投资,True,287734,3122245,马化腾:回忆2015年的意外事故，每个人的微信数据差点全没了！   不听不知道，一听吓一跳！http://t.cn/A6Hh62yO ,,麒炜投资的微博视频
OwEtPnmhO,麒炜投资,True,287734,3122245,腾讯马化腾：移动支付只是表面辉煌！像沙中楼房一推就倒！#淘宝今日逐步开放微信支付# #淘宝微信支付# http://t.cn/A6R1iS2m ,淘宝今日逐步开放微信支付/淘宝微信支付,麒炜投资的微博视频
Mn349CN8B,天下网商,True,673373,3093952,【#李彦宏称百度内部腐败问题吓死人# 】2022年12月末，百度创始人李彦宏在面向全体员工的一场内部直播时提到：“马化腾说的问题，百度也有。”同时百度副总裁崔珊珊补充称，反腐的例子百度也经常看到，也是“吓死人”。此前，马化腾在2022年内部员工大会上谈及腾讯内部贪腐“触目惊心”等问题。 ,李彦宏称百度内部腐败问题吓死人/李彦宏称腾讯的问题百度也有,天下网商的微博视频
P4Gj9zStA,卢松松,True,236510,359592,马化腾忽然出来发表正能量演讲，这肯定不是偶然现象。#马化腾##民营企业# http://t.cn/A6mRoLbp ,马化腾/民营企业,卢松松的微博视频
KDMgVs0XG,o小怂包,True,2783249,45864593,【推荐收藏】“投资教父”沈南鹏演讲实录:红杉资本的投资之道。  沈南鹏谈投资之道，逻辑清晰，言浅意深。沈南鹏：一个买下了中国半个互联网的男人，在一次公开的活动上，马化腾曾表示沈南鹏是自己印象里中国风险投资界最成功的投资人，没有之一！ http://t.cn/A6MTZCTN ,,A股侠女的微博视频
Os6oxqnNM,顺十而为,True,228120,5627094,腾讯为何不做手机?马化腾:雷军做得很好了 我们的专长不在这 http://t.cn/A68ehwIW ,,猎无止境的微博视频
Mpakx0Sgo,电商报,True,4266514,52793385,理论派只能纸上谈兵，马化腾怼专家：创业需要实战，创业过程中不断的更新迭代，再结合身边的理论去融合。 http://t.cn/A69CELR3 ,,电商报的微博视频
NwuYrs1G9,名人张聊,True,928481,1597025,马化腾：害怕腾讯像诺基亚一样，跟不上时代突然就倒下了。#马化腾##腾讯# http://t.cn/A6lGnVz9 ,马化腾/腾讯,名人坊间八卦的微博视频
OAjv5yjmZ,顺十而为,True,228120,5627094,马化腾:有时候事没做错也会怪自己老了 http://t.cn/A6Epdgwj ,,猎无止境的微博视频
Ox5lZkwIo,华哥评论,True,4278545,18309824,腾讯是否准备与苹果硬刚到底？  这次苹果公司似乎已经失去了耐心，向马化腾和张一鸣发出了最后通牒。如果不支付30%的“苹果税”，微信和抖音将被从苹果应用商店中移除。那么，你会选择苹果还是选择微信和抖音呢？  苹果公司的行为让人感到震惊。过去，苹果只在用户通过其应用商店下载软件时收取税收，  ,热门视频,华哥评论的微博视频
M81XSgpbo,后厂炒饭哥,False,9115,30827,马化腾：多大的巨人随时都可能倒下，倒下之后摸一摸他的体温还是热的。再大的巨人都要战战兢兢，因为前面的路如履薄冰。 http://t.cn/A6ozwrZo ,,大厂灵通师的微博视频
NBuWU134b,名人张聊,True,928481,1597025,刘强东评价马化腾：非常低调的一个老板！#刘强东##马化腾##腾讯##京东# http://t.cn/A6jwqxZM ,刘强东/马化腾/腾讯/京东,名人坊间八卦的微博视频
M1jR0uSB8,沐风侃大山,True,423484,1151224,#为什么南北方人商业头脑差别那么大#为什么咱们北方人做生意跟南方人差距那么大呢？为何南方人那么会做生意。2020年发布的中国富豪排行榜，前十名中只有一个北方人恒大地产的许家印许老板，其他像马云、马化腾、钟睒睒、王卫等都是一水的南方人。 为什么差距那么大呢？难道南方人比北方人头脑聪明么。 ,为什么南北方人商业头脑差别那么大/微博公开课,沐风侃大山的微博视频
Ov9ie4U0N,老高电商圈子,True,3007356,16029657,当年刘强东与马化腾联姻，半数以上高管曾联名反对 http://t.cn/A6RC92jn ,,老高电商圈子的微博视频
Mr0Mnmokk,神和她的孩子在跳舞,True,33714,949685,#16岁少年前往腾讯总部为解封QQ空间#马化腾：捐钱是不可能捐钱的了，深圳大学的师生充Q币一律打八折[偷笑][偷笑][偷笑][偷笑] http://t.cn/A69mcu6I ,16岁少年前往腾讯总部为解封QQ空间,神和她的孩子在跳舞的微博视频
OuO3T84IE,电商报,True,4266514,52793385,马云对电脑一窍不通，却成为了一代互联网传奇，背后究竟有什么秘密？ http://t.cn/A6RSZ5sW ,,电商报的微博视频
NwmSa85V3,名人张聊,True,928481,1597025,马化腾谈抄袭：我无所谓谁抄谁，大家都是在copy美国。#马化腾##腾讯##移动互联网# http://t.cn/A6lbNasB ,马化腾/腾讯/移动互联网,名人坊间八卦的微博视频
MkU8WyQoR,雪球,True,2076224,14867371,马化腾称腾讯贪腐问题触目惊心，大量业务被砍战线紧缩！你认为贪腐是腾讯的主要问题吗？ http://t.cn/A6KQnKpz ,,雪球的微博视频
OaCBUhvTr,搜狐财经,True,888198,1396396,相逢一笑泯恩仇；马化腾、周鸿祎相遇握手，笑谈“网红” http://t.cn/A6TQgcnC ,,搜狐财经的微博视频
MkLyStIIf,电商在线,True,1781012,9243111,【#马化腾谈腾讯内部贪腐问题#：吓死人】12月15日，腾讯线上召开内部员工大会，同有100多名员工现场参与听会，大会主题是降本增效。会上，马化腾提及腾讯今年提升了内审内控的力度，结果查出大量内部贪腐问题，还牵扯到了部分中干。他表示自己已经不相信买量的故事，腾讯以后任何业务都不要再跟他提买 ,马化腾谈腾讯内部贪腐问题/员工能力和人品哪个更重要,五环短视频的微博视频
Oa9JNfmKd,娱乐壹姐,True,123548,1471904,腾讯2024年会现场马化腾亲自表演明星周深现场助阵唱《大鱼》#马化腾唱歌 #腾讯年会 #周深 #腾讯 #年会 http://t.cn/A6Tjud1V ,周深 ,百川爱中华的微博视频
Ow0FCxlNf,名人张聊,True,928481,1597025,腾讯创始人马化腾：微商让我很头疼，他们动不动就拿钱跑路了。  #马化腾##腾讯##微商##老张杂谈# http://t.cn/A6RHdBrU ,马化腾/腾讯/微商/老张杂谈,名人张聊的微博视频
P2r9W3Kgh,科技先行x,True,1154555,2046894,马化腾谈 AI，用游戏举例子。  #科技大佬的那些事# http://t.cn/A6mqTOl8 ,科技大佬的那些事,科技先行x的微博视频
L38QyAdTX,江西侠女,True,156675,351679,周鸿祎:腾讯能有今天得感谢我，马化腾采纳了我的意见！  #周鸿祎##马化腾##腾讯# http://t.cn/A6x6xxYz ,周鸿祎/马化腾/腾讯,江西侠女的微博视频
OCPjefpRE,马上谈,True,477044,23963168,#微信内测查删单向好友功能# 马化腾演讲：未来会有什么样的软件颠覆微信呢？也许是下一代的信息终端改变的时候。其实，微信很多设置都有些反人类啊，但是凭借着在消息领域的垄断地位，这么多年都没有改善。比如朋友圈不能编辑、消息超过两分钟不能撤回，好像是为了给你留下罪证似的。还有巨讨厌的服务 ,微信内测查删单向好友功能,马上谈的微博视频
OeFcP48Rs,麒炜投资,True,287735,3122245,#腾讯# CEO马化腾被主持人问道:你怎么看马云？  回答有点出乎意料！ http://t.cn/A6HfkT1m #腾讯四部热度破30000剧集# ,腾讯/腾讯四部热度破30000剧集,麒炜投资的微博视频
OcBlf5Pfd,西部决策,True,8280642,119364354,【#周鸿祎说马化腾要解决微信好友上限问题#】5月3日，周鸿祎发视频称，他请二手车商吃饭，没有必要做过度解读，人家大老远到北京来捧场，当然要请人家吃顿饭，互联网30周年的时候，他跟马化腾吐槽微信加到1万人就加不上去了，马化腾说很快要解决这个问题。@西部决策 http://t.cn/A6HP8CPX ,周鸿祎说马化腾要解决微信好友上限问题,西部决策的微博视频
L2ZFI86On,凤凰网科技,True,4592874,49345052,#科技君的大佬语录# 马化腾揭秘：为什么有了QQ，腾讯还要做微信？#腾讯回应App将暂停更新#。你怎么看？[并不简单]#腾讯回应旗下App将暂停更新# http://t.cn/A6xi6VJE ,科技君的大佬语录/腾讯回应App将暂停更新/腾讯回应旗下App将暂停更新,凤凰网科技的微博视频
LDH6Tdlot,许有希光,True,325199,6342648,沉默寡言的马化腾，高情商的马云，两人对话会发生什么？ http://t.cn/A6anAs4c ,,许有希光的微博视频
L35YrEDFr,凤凰网科技,True,4592874,49345052,#科技君的大佬语录# 腾讯屡次被吐槽抄袭，马化腾这么看[二哈]  http://t.cn/A6x6zG8Z ,科技君的大佬语录,凤凰网科技的微博视频
LlZeDkJmt,全景网,True,2541458,9031556,#安徽ETC宣布停止微信支付##微信提现为何要收取手续费#马化腾曾称承受不起微信提现的巨额成本，微信提现手续费不影响大多数用户  http://t.cn/A66N1gs6 ,安徽ETC宣布停止微信支付/微信提现为何要收取手续费,全景网的微博视频
O6URjFOQE,欧气女孩爱八卦,True,13397,611494,小伙意外穿越认识自己的父亲，认识了不敢认识的马化腾，他们一同闯过许多奇幻的经历，也对自己的身世有了更多的了解。 其实不管是可以回望过去还是可以预见未来，主人公都没能改变人生的轨迹，能做的只有理解与和解。 http://t.cn/A6Tbk9AC ,,欧气女孩爱八卦的微博视频
OcpZAbj63,跨通社,True,112710,1607992,马化腾谈余额宝是如何空手套白狼的。 http://t.cn/A6HvPPJ6 ,,跨通社的微博视频
O2fLeyS7i,影视日历,True,847552,3503324,#宗庆后逝世# 宗庆后逼问马化腾服务器是不是自己的，马化腾支支吾吾半天不敢说！#马化腾# http://t.cn/A6YO3JEk ,宗庆后逝世/马化腾,影视日历的微博视频
NCqjteNSz,名人张聊,True,928481,1597025,马化腾：现在见面吃饭全在玩手机，人际交往更冷漠了。#马化腾##腾讯# http://t.cn/A6jGeAGz ,马化腾/腾讯,名人坊间八卦的微博视频
OaIV1AgCw,福布斯中文网,True,2492042,17586008,【#周鸿祎马化腾罕见握手#】360集团创始人、董事长@周鸿祎 发微博称： 中国互联网30周年，又见到老朋友马化腾，马化腾夸我当网红短视频拍得不错 。#周鸿祎马化腾雷军张朝阳共谈互联网三十年# http://t.cn/A6TQBRCE ,周鸿祎马化腾罕见握手/周鸿祎马化腾雷军张朝阳共谈互联网三十年,周鸿祎的微博视频
Ms6X3wxmI,吐槽曝料,True,1309637,8311147,兰世立：支付宝、微信支付都是仿冒的PayPal，马云和马化腾只是仿冒者，没有创新能力！#吐槽曝料[超话]# http://t.cn/A69kqB69 ,,吐槽曝料的微博视频
OxF8PiCEc,互联网小e,True,1687270,1606776,马化腾：移动支付只是表面辉煌~#互联网# http://t.cn/A6Ehm6LG ,互联网,互联网小e的微博视频
P8HWGEhUl,风华影视圈,True,153895,1284719,不知妻美刘强东，悔创阿里杰克马，一般家庭马化腾，下周回国贾跃亭 http://t.cn/A6uH9u8a ,,风华影视圈的微博视频
L0IHupfGY,五常市信恒农业,True,21509,54507,马化腾当场被问抄袭: 无所谓，谁抄谁都是抄美国。 http://t.cn/A6xylhbu ,,水火的浪漫的微博视频
MrJqc5CJJ,中新经纬,True,15010590,152523473,【#湖北前首富称马云马化腾是仿冒者#，没有创新能力[并不简单]】#湖北前首富称马云马化腾没创新能力#近日，在2023首届长白山高峰论坛上，中国东星集团有限公司总裁兰世立表示，中国需要出一个马斯克、乔布斯这样的企业家。“马云、马化腾最多是一个追随者、仿冒者，没有创新能力，没有真正改变世界的创 ,湖北前首富称马云马化腾是仿冒者/湖北前首富称马云马化腾没创新能力,中新经纬的微博视频
OtaWx2Sdw,001视频,True,79547,534467,吴召国v辛巴 你是雷军，你就是马云，你就是马化腾，在大佬面前演屁都不是，何况我们还算啥呢对吧？没有被社会主义铁拳错过的人呢，就容易觉得自己很屌，被经历过就知道有多难了，就老老实实的，踏踏实实的合法纳税，做好公司，低调做人就完事儿了，多做公益，多做乡村振兴，多做好事儿，老老实实做千万 ,吴召国,蓝猫视频的微博视频
N4dv1cE1H,澎湃新闻,True,32644618,572521086,【#腾讯QQ回应考生喊话#】首位走出考场考生喊话马化腾：能不能把QQ空间改回老版？新版太难用了。腾讯QQ回应：收到！你先专心考试，等考试结束后，我们第一时间联系你！祝你高考顺利！ http://t.cn/A6pfTnco ,腾讯QQ回应考生喊话,澎湃新闻的微博视频
Ob29uBdMM,麒炜投资,True,287736,3122245,#360# 周鸿祎谈:互联网大佬谁编程排第一？  编程前三名大佬出炉！腾讯马化腾你猜排第几？ http://t.cn/A6TnGoNE ,360,麒炜投资的微博视频
L05eHaQdX,历史探秘,True,1493701,7780030,深圳腾讯马化腾当初点评蚂蚁集团上市，每句话背后都有深意啊，尤其是最后一句话，小马哥才是高手！[摊手][求饶] http://t.cn/A6G5I2TJ  ,,历史探秘的微博视频
MkTFDB6PX,悦涛很二,True,510095,572095,#马化腾称腾讯内部贪腐问题触目惊心##马化腾称视频号是全公司的希望# 马化腾放狠话，腾讯开始去产能了。 http://t.cn/A6KQQmZZ ,马化腾称腾讯内部贪腐问题触目惊心/马化腾称视频号是全公司的希望,悦涛很二的微博视频
Noqnrb4IZ,电商在线,True,1781012,9243111,【腾讯待办宣布停止运营 #腾讯今年已关停8项业务#】10月16日，腾讯待办发文宣布将于2023年12月20日全面停止运营并下架，其关停背后，是腾讯不断清退业务、以达到业务“瘦身”。去年以来，腾讯陆续关停了多项业务、游戏等等，包括网游《无限法则》、《街头篮球》、企鹅FM、QQ空间花藤、WIFI管家等，有媒 ,腾讯今年已关停8项业务/茅台董秘称员工离职率只有万分之三,五环短视频的微博视频
